Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuit,Chrome 67.0.3396.79,,2018-08-28 00:42:25,2018-08-28 00:42:54,28.519s,FAILED
,,,,,,
Test Cases/KatalonDemo,Chrome 67.0.3396.79,,2018-08-28 00:42:26,2018-08-28 00:42:53,26.478s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-08-28 00:42:27,2018-08-28 00:42:38,11.292s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-08-28 00:42:38,2018-08-28 00:42:40,1.932s,PASSED
waitForPageLoad,Chrome 67.0.3396.79,,2018-08-28 00:42:40,2018-08-28 00:42:40,0.287s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-28 00:42:40,2018-08-28 00:42:43,3.151s,PASSED
setText,Chrome 67.0.3396.79,,2018-08-28 00:42:43,2018-08-28 00:42:44,0.395s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-08-28 00:42:44,2018-08-28 00:42:44,0.370s,PASSED
click,Chrome 67.0.3396.79,,2018-08-28 00:42:44,2018-08-28 00:42:44,0.264s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-28 00:42:44,2018-08-28 00:42:52,7.312s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-28 00:42:52,2018-08-28 00:42:52,0.072s,PASSED
click,Chrome 67.0.3396.79,,2018-08-28 00:42:52,2018-08-28 00:42:52,0.282s,PASSED
click,Chrome 67.0.3396.79,,2018-08-28 00:42:52,2018-08-28 00:42:53,0.575s,FAILED
